country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Monaco,Europe,2120,27,1922,171,6,53755,685,51953,1317334,39438
Mongolia,Asia,4210,4,3083,1123,8,1270,1,2044869,616807,3315248
Montenegro,Europe,84163,1136,74290,8737,69,133991,1809,309613,492919,628122
Montserrat,North America,20,1,18,1,,4005,200,947,189628,4994
Morocco,Africa,489096,8733,476126,4237,262,13142,235,5805216,155981,37217457
Mozambique,Africa,64516,725,50380,13411,,2025,23,450293,14131,31864760
Myanmar,Asia,142147,3202,131739,7206,,2600,59,2513472,45978,54666275
Namibia,Africa,41424,465,38514,2445,25,16099,181,324162,125982,2573086
Nepal,Asia,275310,3014,271401,895,,9331,102,2218722,75202,29503331
Netherlands,Europe,1162661,16087,,,564,67748,937,6970400,406163,17161582
New Caledonia,Australia/Oceania,93,,58,35,,324,,25517,88778,287425
New Zealand,Australia/Oceania,2432,26,2311,95,,486,5,1824252,364697,5002100
Nicaragua,North America,6537,175,4225,2137,,979,26,,,6679841
Niger,Africa,4865,182,4507,176,1,196,7,84573,3408,24813762
Nigeria,Africa,160895,2016,145752,13127,10,767,10,1684305,8032,209700684
Norway,Europe,81305,640,70224,10441,27,14916,117,4210260,772378,5451033
Oman,Asia,147423,1609,136770,9044,86,28366,310,1550000,298242,5197118
Pakistan,Asia,609964,13595,573014,23355,1895,2724,61,9565066,42722,223890015
Panama,North America,348155,6005,336277,5873,111,79810,1377,2020905,463263,4362324
Papua New Guinea,Australia/Oceania,2269,26,846,1397,,250,3,54410,6002,9065502
Paraguay,South America,181414,3517,150870,27027,353,25217,489,816274,113466,7193985
Peru,South America,1418974,49177,1329788,40009,2245,42620,1477,8329451,250181,33293729
Philippines,Asia,631320,12848,560736,57736,785,5708,116,9360101,84628,110603486
Poland,Europe,1917527,47206,1574455,295866,2084,50705,1248,10668987,282119,37817368
Portugal,Europe,814513,16694,761788,36031,231,80045,1641,8505802,835892,10175719
Qatar,Asia,170733,267,158508,11958,118,60807,95,1629260,580261,2807805
Reunion,Africa,13801,71,12389,1341,58,15338,79,98785,109785,899804
Romania,Europe,862681,21565,787392,53724,1225,45056,1126,6774562,353819,19146957
Russia,Europe,4409438,92937,4014220,302281,2300,30206,637,115700000,792582,145978580
Rwanda,Africa,20302,282,18635,1385,13,1541,21,1065729,80884,13176002
Saint Barthelemy,North America,712,1,462,249,,71934,101,19114,1931097,9898
Saint Kitts And Nevis,North America,43,,41,2,,804,,10465,195739,53464
Saint Lucia,North America,4053,55,3790,208,3,22001,299,33885,183940,184218
Saint Martin,North America,1602,12,1399,191,7,40944,307,22204,567485,39127
Saint Pierre And Miquelon,North America,24,,24,0,,4157,,3729,645826,5774
Saint Vincent And The Grenadines,North America,1680,9,1129,542,2,15110,81,38248,343994,111188
Samoa,Australia/Oceania,3,,2,1,,15,,,,199341
San Marino,Europe,4151,77,3624,450,9,122156,2266,47669,1402813,33981
Sao Tome And Principe,Africa,2084,32,1854,198,,9387,144,11592,52215,222005
Saudi Arabia,Asia,382752,6573,372926,3253,567,10876,187,14352790,407825,35193520
Senegal,Africa,36996,978,32765,3253,44,2170,57,414437,24305,17051222
Serbia,Europe,520911,4747,445182,70982,219,59789,545,3164313,363192,8712513
Seychelles,Africa,3342,16,2903,423,,33834,162,5200,52645,98775
Sierra Leone,Africa,3938,79,2780,1079,,487,10,116448,14394,8090305
Singapore,Asia,60128,30,59974,124,,10221,5,7805264,1326822,5882677
Sint Maarten,North America,2085,27,2048,10,1,48244,625,22027,509672,43218
Slovakia,Europe,337960,8605,255300,74055,668,61880,1576,2200380,402889,5461506
Slovenia,Europe,200579,3938,186386,10255,87,96472,1894,976907,469861,2079139
Solomon Islands,Australia/Oceania,18,,16,2,,26,,4500,6441,698626
Somalia,Africa,9328,379,4259,4690,,576,23,,,16201781
South Africa,Africa,1530033,51421,1455325,23287,546,25572,859,9465515,158199,59833051
South Korea,Asia,96380,1678,88255,6447,103,1879,33,7126077,138909,51300288
South Sudan,Africa,9613,106,7906,1601,2,852,9,121922,10803,11285791
Spain,Europe,3195062,72424,2857714,264924,2112,68318,1549,41114319,879121,46767546
Sri Lanka,Asia,88238,532,84969,2737,,4109,25,2236856,104154,21476449
State Of Palestine,Asia,211602,2293,187634,21675,181,40817,442,1295750,249945,5184135
Sudan,Africa,29135,1959,23583,3593,,654,44,,,44563377
Suriname,South America,9028,176,8519,333,4,15293,298,42770,72452,590324
Swaziland,Africa,17239,663,15791,785,36,14752,567,154809,132474,1168596
Sweden,Europe,712527,13146,,,250,70244,1296,6627544,653375,10143554
Switzerland,Europe,573815,10118,530686,33011,164,65962,1163,5458758,627507,8699113
Syria,Asia,16556,1104,11058,4394,,930,62,,,17797049
Taiwan,Asia,990,10,951,29,,42,,444634,18645,23847150
Tajikistan,Asia,13308,90,13218,0,,1374,9,,,9687135
Tanzania,Africa,509,21,183,305,7,8,,,,60917855
Thailand,Asia,27154,87,26299,768,1,388,1,1600951,22896,69923356
Timor Leste,Asia,203,,104,99,,152,,24853,18603,1335999
Togo,Africa,8222,96,6813,1313,,977,11,253638,30145,8414056
Trinidad And Tobago,North America,7788,140,7542,106,2,5552,100,103342,73675,1402679
Tunisia,Africa,242124,8404,209166,24554,270,20337,706,1037974,87185,11905426
Turkey,Asia,2894893,29552,2716969,148372,1425,34067,348,35277116,415142,84976014
Turks And Caicos Islands,North America,2233,15,2098,120,7,57133,384,17910,458244,39084
Uganda,Africa,40591,334,15099,25158,,868,7,903648,19332,46744315
UK,Europe,4263527,125580,3526715,611232,1110,62573,1843,106046223,1556370,68136918
Ukraine,Europe,1477190,28697,1232209,216284,177,33921,659,7328468,168285,43548043
United Arab Emirates,Asia,428295,1402,408085,18808,,42940,141,34030998,3411896,9974219
Uruguay,South America,72862,717,61609,10536,131,20924,206,1151115,330571,3482207
USA,North America,30138586,548013,22286551,7304022,9286,90678,1649,381627499,1148208,332367957
Uzbekistan,Asia,80743,622,79371,750,23,2388,18,1377915,40756,33809036
Vanuatu,Australia/Oceania,3,,1,2,,10,,470,1506,312151
Venezuela,South America,146488,1444,137948,7096,139,5162,51,3006349,105935,28379060
Viet Nam,Asia,2557,35,2115,407,,26,,2598753,26530,97953767
Wallis And Futuna Islands,Australia/Oceania,233,,7,226,1,20993,,1331,119921,11099
Western Sahara,Africa,10,1,8,1,,16,2,,,607576
Yemen,Asia,2908,698,1500,710,23,96,23,17404,575,30284463
Zambia,Africa,84950,1164,82375,1411,149,4533,62,1165041,62161,18742215
Zimbabwe,Africa,36504,1504,34051,949,22,2431,100,360300,23997,15014503
